ts_BTC,size BID,price BID,size BTC,price BTC,size ASK,price ASK,Saldo,price BTC_EUR,size BID_norm,price BID_norm,size BID_Low,size BID_Medium,size BID_High,Saldo_binned,price BTC_binned,size BTC_binned
2023-01-09 12:00:00,779.16157616,17015.86736842105,5.447958,17256.81241565452,409.57391936,17339.5,369.5876568,16393.97179487179,0.335082831246451,0.1448195348526013,0,1,0,Medium,Low,Low
2023-01-09 13:00:00,352.23885198,17155.57823129252,15.518108,17250.13145539906,400.02910941,17339.0,-47.79025743,16387.624882629105,0.1514823053494886,0.1848918846453511,1,0,0,Low,Low,Low
2023-01-09 14:00:00,424.14378439,17161.242574257427,23.480037,17241.748908296944,442.36162527,17328.543010752688,-18.217840879999983,16379.661462882095,0.1824054271636729,0.1865165509595572,1,0,0,Low,Low,Low
2023-01-09 15:00:00,484.37364809,17166.254716981133,102.73966,17287.31907894737,396.27977676,17347.85234899329,88.09387133000001,16422.953125,0.2083076198175359,0.1879541509593529,1,0,0,Low,Low,Low
2023-01-09 16:00:00,457.73840183,17171.599099099098,25.611888,17322.010570824525,352.13738561,17372.066298342543,105.60101621999996,16455.910042283296,0.1968529819082423,0.1894870450039212,1,0,0,Low,Low,Low
2023-01-09 17:00:00,619.31292729,17198.3115942029,18.019117,17354.721712538227,242.9606876,17402.690683417844,376.3522396899999,16486.985626911315,0.2663390180591328,0.1971488146447075,1,0,0,Medium,Low,Low
2023-01-09 18:00:00,602.40090146,17212.32894736842,51.576901,17369.00328407225,460.98647951,17433.31506849315,141.41442195000002,16500.553119868637,0.2590659059465486,0.2011693200490301,1,0,0,Low,Low,Low
2023-01-09 19:00:00,451.01407402,17206.321917808218,16.708908,17329.91343283582,374.85049544,17438.0,76.16357858000003,16463.41776119403,0.1939611468001654,0.1994463631879499,1,0,0,Low,Low,Low
2023-01-09 20:00:00,509.70363299,17179.289915966387,105.268292,17247.336525307797,529.63734945,17411.5,-19.933716460000028,16384.969699042405,0.2192009227157,0.1916929515266057,1,0,0,Low,Low,Low
2023-01-09 21:00:00,391.93275,17141.45882352941,38.53159,17205.350404312667,754.55037382,17367.66990291262,-362.61762382,16345.082884097032,0.168552890114847,0.1808421075906467,1,0,0,Low,Low,Low
2023-01-09 22:00:00,400.87523625,17109.95945945946,7.87194,17203.333333333332,668.45159215,17354.0,-267.5763559,16343.166666666664,0.1723986567731571,0.1718073517433405,1,0,0,Low,Low,Low
2023-01-09 23:00:00,435.93567421,17117.45901639344,27.61347,17170.064606741573,677.14031204,17360.291411042945,-241.20463783,16311.561376404494,0.1874765959013628,0.1739584004347056,1,0,0,Low,Low,Low
2023-01-10 00:00:00,491.57900902,17088.76165803109,15.5501025,17201.536585365855,715.25095466,17354.5,-223.67194564000005,16341.459756097562,0.2114063259324806,0.1657273254932958,1,0,0,Low,Low,Low
2023-01-10 01:00:00,423.07572354,17105.296460176993,3.486735,17210.156862745098,646.58682191,17371.0,-223.51109837,16349.649019607845,0.1819461015699683,0.1704698942651612,1,0,0,Low,Low,Low
2023-01-10 02:00:00,602.2155852,17098.8586261281,10.085449,17187.960113960115,637.82711645,17363.5,-35.611531249999985,16328.562108262107,0.2589862096435266,0.1686233725802139,1,0,0,Low,Low,Low
2023-01-10 03:00:00,450.05654413,17092.420792079207,13.21306,17194.23287671233,651.13312208,17356.0,-201.07657795,16334.521232876712,0.1935493556693379,0.1667768508952658,1,0,0,Low,Low,Low
2023-01-10 04:00:00,388.01443123,17105.36842105263,1.07162,17209.824074074073,601.54046729,17366.0,-213.52603606,16349.332870370368,0.1668677950237255,0.1704905343307983,1,0,0,Low,Low,Low
2023-01-10 05:00:00,474.45717971,17107.871244635193,0.975092,17222.6646884273,608.40496343,17379.0,-133.94778371999996,16361.531454005932,0.2040429866497756,0.1712084027914802,1,0,0,Low,Low,Low
2023-01-10 06:00:00,504.88789289,17113.877551020407,5.097124,17225.28635346756,567.65475182,17364.0,-62.76685893000001,16364.022035794182,0.2171298865190643,0.1729311522290242,1,0,0,Low,Low,Low
2023-01-10 07:00:00,451.03841924,17101.363636363636,9.641025,17206.208695652174,569.69452637,17366.0,-118.65610712999997,16345.898260869564,0.1939716165993631,0.1693418682242145,1,0,0,Low,Low,Low
2023-01-10 08:00:00,449.56113303,17097.859154929578,6.950219,17232.80658436214,507.95186378,17391.5,-58.39073074999999,16371.166255144031,0.1933363013310618,0.1683367008164591,1,0,0,Low,Low,Low
2023-01-10 09:00:00,488.70219818,17126.38888888889,41.236656,17259.619496855346,486.19881688,17395.0,2.503381300000001,16396.638522012578,0.2101691372020269,0.1765196971505629,1,0,0,Low,Low,Low
2023-01-10 10:00:00,559.49301462,17130.392086330936,0.978624,17259.54716981132,526.82398948,17389.0,32.66902514000003,16396.569811320755,0.2406131271583438,0.177667907997522,1,0,0,Low,Low,Low
2023-01-10 11:00:00,555.70937132,17132.893992932863,8.556109,17270.97154471545,529.44169652,17394.5,26.26767479999989,16407.422967479677,0.2389859500128291,0.1783855134466669,1,0,0,Low,Low,Low
2023-01-10 12:00:00,526.938386795,17109.87341772152,10.662689,17239.52380952381,563.87323069,17393.5,-35.10240538000005,16377.547619047618,0.2266128258145112,0.1717826729563896,1,0,0,Low,Low,Low
2023-01-10 13:00:00,498.16740227,17108.872340425532,12.085182,17231.446366782005,510.95091476,17375.0,-12.783512489999964,16369.874048442904,0.2142397016161933,0.1714955405262417,1,0,0,Low,Low,Low
2023-01-10 14:00:00,171.8953968,17168.006211180124,45.208831,17268.1859375,364.04747153,17340.304812834223,-192.15207473,16404.776640624998,0.0739245850929232,0.1884565205443618,1,0,0,Low,Low,Low
2023-01-10 15:00:00,472.91709027,17187.0,24.706776,17326.886827458256,444.76825868,17381.79891304348,28.148831590000043,16460.54248608534,0.2033806624981262,0.1939043843241448,1,0,0,Low,Low,Low
2023-01-10 16:00:00,576.02639636,17218.5,16.103488,17313.63699582754,530.99215755,17405.76,45.03423881000003,16447.95514603616,0.2477234012440103,0.2029393225710931,1,0,0,Low,Low,Low
2023-01-10 17:00:00,515.48642518,17210.5,1.095116,17320.838888888888,404.97313648,17397.0,110.51328869999998,16454.796944444442,0.22168784511899,0.2006447350798046,1,0,0,Low,Low,Low
2023-01-10 18:00:00,537.97925508,17243.71923076923,21.537365,17409.92660550459,387.50220551,17503.712328767124,150.47704957000002,16539.43027522936,0.2313610135043997,0.2101727890039679,1,0,0,Low,Low,Low
2023-01-10 19:00:00,671.54142052,17276.938461538462,5.695426,17438.947368421053,347.34724545,17526.403973509932,324.19417507,16567.0,0.2888001762049123,0.2197008429281313,1,0,0,Medium,Low,Low
2023-01-10 20:00:00,693.85084532,17278.439024390245,18.713082,17465.495798319327,367.21356684,17550.351515151517,326.63727848,16592.22100840336,0.2983944701924391,0.2201312395218302,1,0,0,Medium,Low,Low
2023-01-10 21:00:00,575.60607359,17293.944289693594,7.852667999999999,17472.978260869564,333.73938631,17561.708333333332,241.8666872800001,16599.329347826086,0.2475426390656402,0.224578512998602,1,0,0,Medium,Low,Low
2023-01-10 22:00:00,691.84660275,17281.44011976048,45.718675,17446.93899204244,374.7174841,17557.616883116883,317.12911864999995,16574.592042440316,0.2975325343688451,0.2209920240089182,1,0,0,Medium,Low,Low
2023-01-10 23:00:00,656.38618149,17276.938461538462,54.123136,17421.10218978102,401.88528846,17535.090452261305,254.50089303000004,16550.04708029197,0.2822825801660821,0.2197008429281313,1,0,0,Medium,Low,Low
2023-01-11 00:00:00,703.99331188,17304.447368421053,8.513997999999999,17461.241176470587,415.27495118,17540.095238095237,288.71836069999995,16588.179117647058,0.3027562951524129,0.2275910421321079,1,0,0,Medium,Low,Low
2023-01-11 01:00:00,618.10981991,17290.44318181818,23.355845,17471.606271777004,407.73898761,17551.101796407187,210.37083230000007,16598.02595818815,0.2658216149433752,0.2235743132065302,1,0,0,Medium,Low,Low
2023-01-11 02:00:00,590.69547379,17289.94301994302,102.490967,17413.676113360325,516.32215508,17547.497142857144,74.37331871000004,16542.992307692308,0.2540319207442179,0.2234308550587354,1,0,0,Low,Low,Low
2023-01-11 03:00:00,755.06995257,17259.477508650518,118.795019,17383.789203084834,485.11779867,17511.5564516129,269.95215390000004,16514.599742930593,0.3247220926155162,0.2146926324177993,1,0,0,Medium,Low,Low
2023-01-11 04:00:00,585.08230255,17265.433774834437,9.342928,17410.75824175824,467.78309843,17526.06392694064,117.29920412,16540.22032967033,0.2516179447873438,0.2164010291528502,1,0,0,Low,Low,Low
2023-01-11 05:00:00,729.94424674,17268.02605863192,13.613402,17421.672839506173,519.64117951,17525.06334841629,210.30306723,16550.589197530862,0.313916641083788,0.2171445568997967,1,0,0,Medium,Low,Low
2023-01-11 06:00:00,619.9742561,17263.0,7.780434,17417.169230769232,451.59528342,17522.06167400881,168.37897268000006,16546.31076923077,0.2666234262445721,0.2157029654913858,1,0,0,Low,Low,Low
2023-01-11 07:00:00,588.46279662,17277.93883792049,10.091599,17449.275167785236,415.50503351,17538.572164948455,172.95776310999997,16576.811409395974,0.2530717453322449,0.2199877743197289,1,0,0,Low,Low,Low
2023-01-11 08:00:00,835.57207685,17283.941002949854,12.402764,17434.07880910683,394.53257462,17544.576923076922,441.03950223,16562.37486865149,0.3593424852920113,0.2217093359193569,0,1,0,Medium,Low,Low
2023-01-11 09:00:00,557.95290034,17284.444117647057,3.315818,17457.754189944135,432.53896466,17542.575268817203,125.41393568,16584.866480446926,0.2399507923241123,0.2218536410057181,1,0,0,Low,Low,Low
2023-01-11 10:00:00,545.972705085,17283.440828402367,3.090989,17456.54187192118,436.39222364,17544.576923076922,176.32077823999998,16583.71477832512,0.2347986417718289,0.221565874136842,1,0,0,Low,Low,Low
2023-01-11 11:00:00,533.99250983,17277.93883792049,2.618232,17446.24074074074,388.59330408,17541.574468085106,145.39920575000002,16573.928703703703,0.2296464912195456,0.2199877743197289,1,0,0,Low,Low,Low
2023-01-11 12:00:00,484.49213585,17278.439024390245,8.664413,17428.633333333335,367.4660329,17533.313725490196,117.02610295,16557.201666666668,0.2083585761471389,0.2201312395218302,1,0,0,Low,Low,Low
2023-01-11 13:00:00,270.49020101,17321.87591240876,174.13805,17400.264875239922,283.63783005,17500.51282051282,-13.14762903999997,16530.251631477924,0.1163258368380325,0.2325899570103029,1,0,0,Low,Low,Low
2023-01-11 14:00:00,406.54010972,17335.885245901638,21.657811,17397.377952755905,423.43926175,17493.017341040464,-16.89915203000004,16527.50905511811,0.1748348675657061,0.2366081621845595,1,0,0,Low,Low,Low
2023-01-11 15:00:00,395.96594596,17328.375,69.215178,17358.156661786237,478.4439034,17478.336683417085,-82.47795744000001,16490.248828696924,0.170287388789575,0.2344540476467598,1,0,0,Low,Low,Low
2023-01-11 16:00:00,370.69597234,17271.828402366864,8.603671,17346.86699507389,507.13002345,17456.00809716599,-136.43405110999998,16479.523645320194,0.1594198940809116,0.2182351581962693,1,0,0,Low,Low,Low
2023-01-11 17:00:00,422.86117599,17269.82424242424,7.348091,17378.52142857143,419.26499328,17483.515625,3.5961827099999937,16509.595357142854,0.1818538341857817,0.217660318154409,1,0,0,Low,Low,Low
2023-01-11 18:00:00,517.44329727,17363.756097560974,168.86548,17479.28888888889,430.86145672,17470.05325443787,86.58184055000004,16605.324444444443,0.2225294090004329,0.2446021756331937,1,0,0,Low,Low,Low
2023-01-11 19:00:00,671.34807814,17389.407692307694,34.500607,17519.466666666667,464.86684075,17593.8,206.48123739,16643.493333333332,0.2887170282237071,0.2519596541878712,1,0,0,Medium,Low,Low
2023-01-11 20:00:00,546.56224647,17414.851711026615,25.947587,17540.39644970414,350.36300277,17611.5,196.1992437,16663.376627218935,0.2350521773701785,0.2592575950729401,1,0,0,Medium,Low,Low
2023-01-11 21:00:00,544.01274731,17417.85501858736,56.617314,17560.561743341405,382.7476072,17637.036144578313,161.26514011,16682.533656174335,0.2339557508741448,0.2601190140681124,1,0,0,Low,Low,Low
2023-01-11 22:00:00,656.6515169950001,17425.36267605634,173.218613,17569.06974128234,379.00823565,17644.688741721853,187.77945207,16690.61625421822,0.2823966891968223,0.2622723861827616,1,0,0,Medium,Low,Low
2023-01-11 23:00:00,769.29028668,17498.14202898551,169.360788,17843.088333333333,334.25908222,17657.90506329114,435.03120446,16950.933916666665,0.3308376275194997,0.2831472102896804,1,0,0,Medium,Low,Low
2023-01-12 00:00:00,1048.33248432,17617.941704035875,230.761185,18028.45546372819,393.91623849,18061.80733944954,654.41624583,17127.03269054178,0.4508412987519251,0.3175085647685565,0,1,0,Medium,Low,Low
2023-01-12 01:00:00,1159.03551169,17775.96040609137,68.661499,18204.64173703257,312.23879362,18350.892617449663,846.79671807,17294.40965018094,0.498449760172096,0.3628320319093303,0,1,0,High,Medium,Low
2023-01-12 02:00:00,1397.81329947,17757.460970464133,61.110327,18264.935779816515,481.87355929,18336.141463414635,915.93974018,17351.68899082569,0.6011374948039904,0.3575259602110607,0,1,0,High,Medium,Low
2023-01-12 03:00:00,631.56584095,18067.75,19.660406,18220.665254237287,596.54417972,18374.76767676768,35.02166123000006,17309.63199152542,0.27160845269995,0.4465241259431938,1,0,0,Low,Medium,Low
